name,category,price,images,description
"Замовити будь-який товар з категорії Універсальні аксесуари","Універсальні аксесуари",1,"[""https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Автолампи","Автолампи",1,"[""https://images.unsplash.com/photo-1503736334956-4c8f8e92946d?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Автохімія","Автохімія",1,"[""https://images.unsplash.com/photo-1607860108855-64acf2078ed9?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Автосвітло","Автосвітло",1,"[""https://images.unsplash.com/photo-1503736334956-4c8f8e92946d?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Аксесуари для авто в салон","Аксесуари для авто в салон",1,"[""https://images.unsplash.com/photo-1542362567-b07e54358753?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Бризговики","Бризговики",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Дефлектори","Дефлектори",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Багажники/дуги на дах","Багажники/дуги на дах",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Запчастини кузова","Запчастини кузова",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Кенгурятники та підніжки","Кенгурятники та підніжки",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Килимки","Килимки",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
"Замовити будь-який товар з категорії Ковпаки","Ковпаки",1,"[""https://images.unsplash.com/photo-1492144534655-ae79c964c9d7?w=400&auto=format&fit=crop&q=70""]","Можна замовити абсолютно будь-який товар для будь-якої марки автомобіля! Телефонуйте: 097-602-0714 — і ми підберемо потрібний варіант саме для вашого авто. Доставка по всій Україні."
